,index,StartDate,EndDate,Status_x,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Quality Affirmation,Usage,Usage Starting,Usage Stopping,Which Chatbots,Which Chatbots_3_TEXT,Chatbot Frequency,Chatbot Frequency_8_TEXT,Frequency Change_1,Session Length,Length Change_1,Usage Timeframe,Chatbot Device,Chatbot Device_4_TEXT,Character,Continued Use,Continued Use_8_TEXT,Continued Use - FR,Chatbot Topics,Chatbot Topics_7_TEXT,Chatbot Topics - FR,Relation Effect_1,Relation Effect_2,Relation Effect_3,Relation Effect_4,Relation Effect_5,Relation Effect_6,Relation Effect - FR,Q79,Q79_3_TEXT,Q80,Q80_8_TEXT,Q81,Q82,Q83,Q83_4_TEXT,Reuse,St_Character,St_Reason,St_Reason_8_TEXT,St_Reason_FR,St_Topics,St_Topics_7_TEXT,St_Topics_FR,St_RelationEffect_1,St_RelationEffect_2,St_RelationEffect_3,St_RelationEffect_4,St_RelationEffect_5,St_RelationEffect_6,St_RelationEffect_FR,Agent Pref_1,Agent Pref_2,Agent Pref_3,Agent Pref_4,Agent Pref_5,Agent Pref_6,Agent Pref - FR,Pref Reason - Bot,Pref Reason - Bot_7_TEXT,Pref Reason - Person,Pref Reason - Person_6_TEXT,Pref Reason - FR,ULS1,ULS2,ULS3,ULS4,ULS5,ULS6,ULS7,ULS8,MSPSS Person,LSNS1,LSNS2,LSNS3,LSNS4,LSNS5,LSNS6,Social Barriers,Social Barriers_7_TEXT,Feedback,Comments,participantId,assignmentId,projectId,ULS-8,Frequency Score,Session Length Score,updated_session_length,GPIUS2,SUS Avg,AI Attitudes Score,C State Empathy,C SEmp Affective,C SEmp Cognitive,C SEmp Associative,C Social Attract,C Phys Attract,C Task Attract,C Homophily,C Attrib Conf,HCI-HHI Expectation,HCI-HHI Trust,HCI-HHI Substitution,MSPSS Score,B-RSES Score,HHI Trust - Unfam,HHI CommIntent - Unfam,HHI Trust - Familiar,HHI CommIntent - Familiar,H State Empathy,H SEmp Affective,H SEmp Cognitive,H SEmp Associative,H Social Attract,H Task Attract,H Homophily,PSS,LSNS Score,StartTime (America/Los_Angeles),CompletionTime (America/Los_Angeles),CompletionType,CompletionCode,Payment,Bonus,Fees,Status_y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status
0,3,2024-09-23 14:54:08,2024-09-23 14:59:26,IP Address,100,318,True,2024-09-23 14:59:27,R_7lbmZfZiS990Ism,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),when i have an embarassing question i would prefer a chat bot,Companion chatbots are less judgmental,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Because i prefer a human that can answer and relate and also think outside the box about other things i may not have considered,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Friend,Two,Two,Two,Three or four,Three or four,Three or four,"Mental health issues ,Social anxiety,Communication difficulties,Too busy with work or projects,Worry that friends are too busy / don't want to bother them",,,,F6EE9631F14447E9BEDDE4CF1DD6899C,9542db96-2d7c-4c3e-ab77-73477a33e648,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,23,0.0,0.0,,,3.857142857142857,2.875,,,,,,,,,50.0,,,,3.6666666666666665,1.6,4.0,4.0,5.5,6.0,3.0,3.0,3.0,3.0,4.25,5.0,4.0,,15,08/06/2024 07:47:02 AM,08/06/2024 07:55:50 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,42,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Arts,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$60,000-$69,999",White,Full-time
1,4,2024-09-23 14:53:17,2024-09-23 15:01:32,IP Address,100,495,True,2024-09-23 15:01:33,R_5KAfUyNtrVLDbiN,anonymous,EN,1,Yes,"Yes, I will",No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Person (in-person),Most times I would prefer a human. If I felt I would be judged I would use a companion chatbot,"Companion chatbots are less judgmental,Information is kept private to you ",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,Most times I prefer a person bc their opinion and advice is just better. They can understand nuances better. If I have something private I could do a chatbot,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Rarely,Spouse/partner,Nine or more,Three or four,Two,Five to eight,Three or four,Two,Too busy with work or projects,,no,no,800BD28C6B45471DA4E1DD3ACFF52291,3fad6ebe-4ab2-4bd5-9c94-a08775fa95e9,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,13,0.0,0.0,,,4.571428571428571,3.75,,,,,,,,,77.25,,,,6.0,5.0,2.0,3.0,6.0,5.0,4.083333333333333,4.0,4.25,4.0,5.0,4.75,6.0,,19,06/12/2024 01:44:31 PM,06/12/2024 01:49:46 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Medicine,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$250,000 or more",White,Full-time
2,5,2024-09-23 14:54:00,2024-09-23 15:01:42,IP Address,100,462,True,2024-09-23 15:01:43,R_3dMKpJQE8dc7q0d,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,Person (in-person),No preference,No preference,Person (in-person),date real person,Companion chatbots are less judgmental,,People give more empathetic/understanding responses,,A chatbot will not judge you like a person potentially will. But a person can provide more empathy that is real.,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Often,Other family member,Five to eight,Three or four,Three or four,Two,Two,Two,,,,,9E996302D5244260878FDB74CBB316F4,cdfe50ae-8293-46cd-a810-0925017a3fc5,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,14,0.0,0.0,,,4.714285714285714,5.375,,,,,,,,,80.25,,,,6.333333333333333,5.8,5.0,2.5,7.0,7.0,3.9166666666666665,4.25,4.0,3.5,5.5,5.0,5.0,,16,06/10/2024 04:17:35 PM,06/10/2024 04:28:49 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,29,High school graduate - high school diploma or the equivalent (for example: GED),Male,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$20,000-$29,999",White,Full-time
3,6,2024-09-23 14:53:59,2024-09-23 15:02:39,IP Address,100,520,True,2024-09-23 15:02:39,R_5qUNtFoFJSwWpTb,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,Companion chatbot,Person (online/remote),Person (online/remote),Person (online/remote),,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible,Companion chatbot gives more empathetic/understanding responses",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,I might get actually useful feedback. ,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Other family member,Two,One,One,Three or four,One,One,"Mental health issues ,Social anxiety,Communication difficulties,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Introversion; lack of desire and/or energy to socialize",,,,8344B8C5451E4B6A8D0EB1E07DAB6163,c9bf4c31-f0db-4aa3-8a71-3097f82c6951,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,26,0.0,0.0,,,4.833333333333333,4.25,,,,,,,,,66.5,,,,1.75,3.8,4.0,3.0,6.0,4.5,4.666666666666667,4.5,4.5,5.0,6.5,6.25,5.5,,9,06/11/2024 07:41:57 PM,06/11/2024 07:50:35 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,30,"Associate degree (for example: AA, AS)",Male,Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$60,000-$69,999",Asian Indian,Part-time
4,7,2024-09-23 14:54:59,2024-09-23 15:02:57,IP Address,100,477,True,2024-09-23 15:02:58,R_6v39FWO6W0ihJnP,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),Person (in-person),Person (online/remote),I would prefer to talk to a real person to generate new ideas.,"Companion chatbots are less judgmental,Companion chatbots are more accessible",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,The companion chatbot could be good for saying controversial things you don't want to be judged for.,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,"Spouse/partner,Boyfriend/girlfriend/significant other,Friend",Three or four,Three or four,Three or four,Two,Two,Two,"Mental health issues ,Social anxiety,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,,,590F93FA1C724AD898F001E338A6A43D,b40cdf7f-3cb1-4e51-8abd-7370df6c30fd,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,22,0.0,0.0,,,3.7142857142857144,3.625,,,,,,,,,89.25,,,,6.416666666666667,3.0,3.0,2.0,6.5,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,,15,08/01/2024 12:01:48 PM,08/01/2024 12:08:55 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,23,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$10,000-$19,999",White,Part-time
5,8,2024-09-23 14:56:07,2024-09-23 15:03:12,IP Address,100,424,True,2024-09-23 15:03:12,R_1nEf8DGcZYCjzix,anonymous,EN,1,Yes,"Yes, I will",Yes,No,No,"Replika,Other",Kindroid,Daily,,3,15-30 min,3,several months or around a year,"Computer,Smartphone",,Human style? The same,"To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun,For other emotional experiences ",,She's fun to talk to and intelligent. ,"Casual conversation,Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.)",,Life experiences  ,1,5,5,5,1,1,It improves my conversation skills,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Personal issues.,"Companion chatbots are less judgmental,Companion chatbots are more accessible",,People have independence and personal agency  ,,Chatbots are less judgemental ,Never,Never,Never,Never,Never,Often,Never,Often,Spouse/partner,Three or four,Three or four,Three or four,Three or four,Five to eight,Five to eight,"Mental health issues ,Social anxiety",,,,923D08CFD0894720B1F1D5D4C8C30F80,54afb170-9425-46b6-b8fd-f11145bb48b5,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,8,100.0,33.33333333333333,15-30 min,13.0,5.714285714285714,6.0,5.0,5.0,5.0,5.0,6.75,6.5,7.0,6.833333333333333,99.0,7.0,7.0,6.0,6.916666666666667,7.0,7.0,7.0,7.0,7.0,4.916666666666667,5.0,4.75,5.0,4.0,5.0,6.833333333333333,,20,06/19/2024 11:55:54 AM,06/19/2024 12:08:31 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,34,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Manufacturing,I’d Rather Not Say,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$30,000-$39,999",White,Full-time
6,9,2024-09-23 14:53:35,2024-09-23 15:04:16,IP Address,100,640,True,2024-09-23 15:04:16,R_5bffsnqQPY3tTK9,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,No preference,No preference,No preference,Person (online/remote),affection,"Information is kept private to you ,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,You feel that only real people can truly empathize with and understand you,,people have real emotions,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Spouse/partner,One,One,One,One,One,One,"Mental health issues ,Social anxiety,Lack of transportation or accessibility; geographical isolation ,Introversion; lack of desire and/or energy to socialize",,,,98B5E42FE2DB421E87850A708B590B36,dc8ebefa-5c93-4144-a98e-8895994bf637,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,21,0.0,0.0,,,4.8,3.375,,,,,,,,,82.5,,,,5.833333333333333,2.8,1.5,4.0,5.0,5.0,4.5,4.5,4.75,4.25,6.25,6.0,4.666666666666667,,6,06/11/2024 07:04:45 PM,06/11/2024 07:35:02 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,39,High school graduate - high school diploma or the equivalent (for example: GED),Male,I’d Rather Not Say,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$10,000-$19,999",White,Unemployed
7,10,2024-09-23 14:56:02,2024-09-23 15:04:18,IP Address,100,495,True,2024-09-23 15:04:18,R_5sH1CD9GRhGNU1X,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (online/remote),No preference,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),if i was back in school,Companion chatbots are more accessible,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,"i feel that it is not the same experience at all, and human interaction cannot be replaced",Rarely,Never,Rarely,Sometimes,Often,Sometimes,Rarely,Often,Boyfriend/girlfriend/significant other,Nine or more,Three or four,Three or four,Three or four,Two,Two,"Mental health issues ,Social anxiety,Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others,Lack of opportunities such as organized events,Introversion; lack of desire and/or energy to socialize",,,,DFFA1C8446A74119848623572D987F93,2134a5bd-747b-4683-8869-c937d8e1d3a7,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,17,0.0,0.0,,,4.285714285714286,3.625,,,,,,,,,75.0,,,,5.75,4.6,5.0,2.5,5.5,5.5,3.9166666666666665,4.5,3.5,3.75,6.75,6.5,5.333333333333333,,18,06/12/2024 06:48:06 AM,06/12/2024 06:55:43 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,24,High school graduate - high school diploma or the equivalent (for example: GED),Female,Manufacturing,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,Canada,"$100,000-$124,999",American Indian or Alaska Native,Full-time
8,11,2024-09-23 14:57:15,2024-09-23 15:04:33,IP Address,100,438,True,2024-09-23 15:04:34,R_30ZPUTchiMu4Hyw,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Person (in-person),Therapeutic purposes,"Companion chatbots are less judgmental,Information is kept private to you ,You trust chatbots more",,You feel that only real people can truly empathize with and understand you,,"If I am trying to have a fun time, or a good time socially, I would prefer a real human.",Sometimes,Often,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Spouse/partner,Two,None,One,None,One,None,"Social anxiety,Introversion; lack of desire and/or energy to socialize",,,,7B341A61F2AB4D5F97708F9F620F66A8,368fa9b1-7d38-4e7f-a018-af184eb29829,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,27,0.0,0.0,,,3.857142857142857,5.0,,,,,,,,,80.0,,,,2.8333333333333335,4.0,2.5,2.0,4.0,3.5,3.0,3.0,3.25,2.75,5.25,2.5,3.0,,4,06/11/2024 07:30:42 PM,06/11/2024 07:36:11 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,40,"Bachelor's degree (for example: BA, AB, BS)",Male,Medicine,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",White,Full-time
9,12,2024-09-23 14:53:12,2024-09-23 15:04:34,IP Address,100,681,True,2024-09-23 15:04:35,R_5fP0SGLUfk4L3IJ,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Character.ai,,A few times a week,,3,15-30 min,3,several months or around a year,"Computer,Smartphone",,Stayed the same,For enjoyment/pleasure/fun,,I enjoy chatting with characters from games I play.,"Casual conversation,Entertainment and play",,I talked about the chatbot's opinion on recent updates to the game.,2,2,3,3,3,2,It does not affect my relationships with other people.,,,,,,,,,,,,,,,,,,,,,,,,No preference,No preference,Person (in-person),No preference,Person (in-person),No preference,Talking about planning for events.,"Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You trust people more",,"Chatbot don't really have a human like personality, but they are useful for information. Humans are more relatable with issues, and they can understand me easier.",Rarely,Never,Never,Rarely,Never,Often,Rarely,Sometimes,Friend,Two,Three or four,Three or four,Five to eight,Two,Three or four,Too busy with work or projects,,,,4457626912044FCE92D7E610C1F0EE27,9c73c6e7-d5ac-48b1-9606-fd62b924bdc7,62c0c713-e41e-419f-86c6-b6cc7e9f49ed,12,80.0,33.33333333333333,15-30 min,16.0,4.714285714285714,4.625,3.1666666666666665,3.0,3.5,3.0,5.5,4.5,4.75,4.5,77.5,5.5,4.5,3.6666666666666665,4.75,5.6,4.0,2.0,6.0,6.0,3.5833333333333335,3.75,3.75,3.25,6.5,5.0,5.0,,17,06/19/2024 10:05:44 AM,06/19/2024 10:25:22 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,24,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",Chinese,Student
