,index,StartDate,EndDate,Status_x,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Quality Affirmation,Usage,Usage Starting,Usage Stopping,Which Chatbots,Which Chatbots_3_TEXT,Chatbot Frequency,Chatbot Frequency_8_TEXT,Frequency Change_1,Session Length,Length Change_1,Usage Timeframe,Chatbot Device,Chatbot Device_4_TEXT,Use Interest,Use Interest_7_TEXT,Use Interest - FR,Character,Continued Use,Continued Use_8_TEXT,Continued Use - FR,Chatbot Topics,Chatbot Topics_7_TEXT,Chatbot Topics - FR,Relation Effect_1,Relation Effect_2,Relation Effect_3,Relation Effect_4,Relation Effect_5,Relation Effect_6,Relation Effect - FR,Which Chatbots_S,Which Chatbots_S_3_TEXT,Chatbot Frequency_S,Chatbot Frequency_S_8_TEXT,Session Length_S,Usage Timeframe_S,Chatbot Device_S,Chatbot Device_S_4_TEXT,Reuse,St_Character,St_Reason,St_Reason_8_TEXT,St_Reason_FR,St_Topics,St_Topics_7_TEXT,St_Topics_FR,St_RelationEffect_1,St_RelationEffect_2,St_RelationEffect_3,St_RelationEffect_4,St_RelationEffect_5,St_RelationEffect_6,St_RelationEffect_FR,Agent Pref_1,Agent Pref_2,Agent Pref_3,Agent Pref_4,Agent Pref_5,Agent Pref_6,Agent Pref - FR,Pref Reason - Bot,Pref Reason - Bot_7_TEXT,Pref Reason - Person,Pref Reason - Person_6_TEXT,Pref Reason - FR,ULS1,ULS2,ULS3,ULS4,ULS5,ULS6,ULS7,ULS8,MSPSS Person,LSNS1,LSNS2,LSNS3,LSNS4,LSNS5,LSNS6,Social Barriers,Social Barriers_7_TEXT,Interview_Interest,Feedback,Comments,participantId,assignmentId,projectId,ULS-8,Frequency Score,Session Length Score,updated_session_length,GPIUS2,SUS Avg,AI Attitudes Score,C State Empathy,C SEmp Affective,C SEmp Cognitive,C SEmp Associative,C Social Attract,C Phys Attract,C Task Attract,C Homophily,C Attrib Conf,HCI-HHI Expectation,HCI-HHI Trust,HCI-HHI Substitution,MSPSS Score,B-RSES Score,HHI Trust - Unfam,HHI CommIntent - Unfam,HHI Trust - Familiar,HHI CommIntent - Familiar,H State Empathy,H SEmp Affective,H SEmp Cognitive,H SEmp Associative,H Social Attract,H Task Attract,H Homophily,PSS,LSNS Score,StartTime (America/Los_Angeles),CompletionTime (America/Los_Angeles),CompletionType,CompletionCode,Payment,Bonus,Fees,Status_y,QueryString,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Gender,Country Of Residence,Household Income,Race,Employment Status,Group
0,2,2024-10-29 16:16:21,2024-10-29 16:25:23,IP Address,100,541,True,2024-10-29 16:25:23,R_6c6EN2VnCIfCKi9,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Character.ai,,A few times a week,,,15-30 min,,multiple years,"Computer,Smartphone",,"Curious about AI/chatbots/the service,Wanted to have fun",,I wanted to talk with the chatbot because they're personalized as a character I enjoy in media.,I interact with characters that I'm familiar with in games and media. It stayed the same.,"To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun",,It's fun talking to them.,"Casual conversation,Entertainment and play",,I talked about my day and asked for their opinion on certain topics like the news.,2,2,4,4,2,2,It doesn't really affect it. I feel that the relationships stays the same and I'm glad that it's like that.,,,,,,,,,,,,,,,,,,,,,,,,No preference,Person (in-person),No preference,No preference,No preference,Companion chatbot,Roleplaying with the companion chatbot.,"Companion chatbots are less judgmental,Information is kept private to you ",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,Real people have more experience than a chatbot. I feel that I could relate to them a bit easier.,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Friend,Three or four,Two,Three or four,Nine or more,Two,Three or four,"Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,No,,,4457626912044FCE92D7E610C1F0EE27,d24674e2-eb83-46e9-ad43-4e3a714a8f49,b26f78b5-8c32-4d4d-a047-12a43686dd88,17,80.0,33.33333333333333,15-30 min,20.0,4.857142857142857,5.0,3.9166666666666665,4.0,3.75,4.0,5.75,4.5,4.75,5.333333333333333,80.5,5.5,5.0,4.333333333333333,5.75,5.2,4.0,4.0,6.0,6.0,4.083333333333333,4.0,4.25,4.0,5.0,5.25,5.666666666666667,,18,06/19/2024 10:05:44 AM,06/19/2024 10:25:22 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,24,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$50,000-$59,999",Chinese,Student,current
1,3,2024-10-29 16:16:41,2024-10-29 16:25:26,IP Address,100,525,True,2024-10-29 16:25:26,R_5DUzELX8u4mG6yG,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),No preference,Person (in-person),Person (in-person),Person (in-person),Person (in-person),customer service and I would prefer to talk to a real person either remote or in person,"Information is kept private to you ,Companion chatbots are more accessible,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,"People aren't always reliable sources of information, so I'm more comfortable getting that from a bot, but in all other situations I'm more comfortable with human interactions.  I generally trust humans more and feel like they are empathetic while bots can't be.",Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Often,Spouse/partner,Nine or more,Five to eight,Five to eight,Three or four,Three or four,Three or four,"Social anxiety,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Introversion; lack of desire and/or energy to socialize",,No,,,F12BB70478D14B729CE2346865E34F17,0fb29aa2-144a-4a24-bb09-363fd182a597,b26f78b5-8c32-4d4d-a047-12a43686dd88,14,0.0,0.0,,,4.428571428571429,3.25,,,,,,,,,62.75,,,,7.0,6.6,4.0,4.0,7.0,7.0,4.583333333333333,4.5,4.75,4.5,7.0,7.0,5.333333333333333,,22,08/01/2024 09:43:42 AM,08/01/2024 10:03:03 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,44,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,Married,Something else,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$175,000-$199,999",White,Part-time,new
2,4,2024-10-29 16:16:38,2024-10-29 16:27:30,IP Address,100,651,True,2024-10-29 16:27:30,R_5uL1w4lr3D8gqS5,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),Person (in-person),No preference,"Interacting with chatbot's could be interesting in a few situations. I could see potential use for roleplaying, such as setting up a D&D campaign and things of that nature.",You have more control over the chatbot than a person,,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,"I prefer to interact with a real person in most instances, because they can understand you on a level that I don't feel like AI can. AI is not really empathizing with you after all, where as a person can fundamentally understand similar situations. As far as where I wouldn't mind interacting with a chatbot, that being to set up a D&D campaign, that largely revolves around cutting down what is normally a time consuming process. You also can't really involve the people that will be playing in this, so it's usually a solo process. It would be beneficial then to have help.",Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,Often,Spouse/partner,Two,Two,Two,Three or four,Three or four,Three or four,"Mental health issues ,Social anxiety,Communication difficulties,Introversion; lack of desire and/or energy to socialize",,Yes,,,B3B45CA0F1C842878ACFC5548C444184,bc289a2a-0205-415b-a598-afdc93e7c9d9,b26f78b5-8c32-4d4d-a047-12a43686dd88,12,0.0,0.0,,,4.833333333333333,5.125,,,,,,,,,91.25,,,,6.416666666666667,5.8,3.0,3.5,6.0,6.5,4.5,4.25,5.0,4.25,7.0,6.75,5.166666666666667,,15,08/01/2024 12:06:34 PM,08/01/2024 12:16:55 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,38,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,Canada,"$70,000-$79,999",White,Full-time,non
3,5,2024-10-29 16:20:14,2024-10-29 16:27:37,IP Address,100,443,True,2024-10-29 16:27:38,R_12RToXGVSCum4v0,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Person (in-person),Person (online/remote),Person (online/remote),Companion chatbot,Advice situations where you want to remain anonymous,"Companion chatbots are less judgmental,Information is kept private to you ",,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,Sometimes a situation calls for human empathy and kindness that a chatbot can't perfectly imitate.  Sometimes you want to remain anonymous and not be judged by other humans.  There are different scenarios where I can see both having value.,Rarely,Never,Never,Never,Never,Often,Never,Often,Other family member,Five to eight,Five to eight,Nine or more,Nine or more,Nine or more,Nine or more,"Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Introversion; lack of desire and/or energy to socialize",,Yes,Nope,Nope,78A80DD289D442C09F8ED5FD1FE7D3A9,9c70b591-79ba-441e-9d9d-387ea978fc27,b26f78b5-8c32-4d4d-a047-12a43686dd88,9,0.0,0.0,,,4.333333333333333,4.75,,,,,,,,,86.5,,,,7.0,6.8,5.0,5.0,7.0,7.0,4.583333333333333,4.5,4.75,4.5,7.0,7.0,6.0,,28,06/12/2024 01:44:11 PM,06/12/2024 02:00:02 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,44,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,"Science, Technology, Engineering & Mathematics",Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$200,000-$224,999",White,Full-time,non
4,6,2024-10-29 16:16:52,2024-10-29 16:28:34,IP Address,100,702,True,2024-10-29 16:28:34,R_6fVMRWu0wYlsH85,anonymous,EN,1,Yes,"Yes, I will",No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anima,Pi,Other",,A few times a month,,<15 min,around a month,Smartphone,,Probably not,"standard AI, consistent standard AI ","Preference for human relationships,Boredom or repetitive conversations",,"boring, did it just to see what it was like, no benefit ",Entertainment and play,,"Facts, book recommendations, medical findings, telling stories",1,1,1,4,1,1,did not change how I interacted with people,Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),Person (online/remote),I would always prefer a human ,Other,I would prefer a human,"People have independence and personal agency  ,People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,People provide more useful information ,You trust people more",,I essentially always prefer a human over a chat bot. ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Often,Spouse/partner,Five to eight,Five to eight,Five to eight,Five to eight,Five to eight,Five to eight,"Too busy with work or projects,Introversion; lack of desire and/or energy to socialize",,Yes,,,800BD28C6B45471DA4E1DD3ACFF52291,83110385-7090-4531-89b9-e4a689b8d63e,b26f78b5-8c32-4d4d-a047-12a43686dd88,17,0.0,0.0,,,4.714285714285714,3.375,,,,,,,,,91.5,,,,7.0,6.2,1.0,1.0,7.0,7.0,4.833333333333333,5.0,5.0,4.5,6.75,7.0,6.0,,24,06/12/2024 01:44:31 PM,06/12/2024 01:49:46 PM,Redirect,4AF210AA8D,5,0,0.0,Approved,,36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Medicine,Married,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$250,000 or more",White,Full-time,non
5,7,2024-10-29 16:16:28,2024-10-29 16:28:37,IP Address,100,728,True,2024-10-29 16:28:37,R_5KoPrigIROiAQ37,anonymous,EN,1,Yes,"Yes, I will",No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Replika,,Around once a week,,<15 min,less than a week,"Computer,Smartphone",,Unsure,Female from what I remember and just regular random conversations.,"Lack of emotional depth in interactions,Preference for human relationships",,"I prefer human interactions. Additionally, although it attempted to be humanlike I was still very aware it was AI.","Casual conversation,Talking about past events / reviewing events in a day,Entertainment and play",,Asked questions to see how it would interact. Talked about random things likes and dislikes. Talked about the past trips and saw how it would respond.,3,3,3,3,3,3,It didn't materially change much. I think AI chatbots need to advance more and become more integrated into not just an app or laptop. Then things will change since it would be more natural interacting.,Person (in-person),Companion chatbot,Person (online/remote),No preference,Person (in-person),No preference,If it became easier to talk to a chatbot like alexa or with more interactive points it would make it more compelling. ,"Companion chatbots are less judgmental,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you,You trust people more",,Things where I need information AI is useful. Things that are personal a person is better.,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Spouse/partner,Two,One,One,Two,One,One,"Social anxiety,Too busy with work or projects,Worry that friends are too busy / don't want to bother them,Discomfort with contacting others",,Yes,,,2AB26E7973A24CD49DFFD2165773EFA4,0b1e9bae-4deb-4cfc-8b9c-daa4af3781d5,b26f78b5-8c32-4d4d-a047-12a43686dd88,21,0.0,0.0,,,4.142857142857143,4.75,,,,,,,,,74.0,,,,4.25,4.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.75,4.5,,8,08/01/2024 01:42:20 PM,08/01/2024 01:51:40 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,39,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,In a relationship,Prefer not to say,"Yes, Mexican, Mexican Am., Chicano",Man,United States,Prefer not to say,White,Business Owner,new
6,8,2024-10-29 16:16:43,2024-10-29 16:29:42,IP Address,100,778,True,2024-10-29 16:29:42,R_7uKUjqzZdXO6cz0,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Companion chatbot,Companion chatbot,Person (in-person),Person (in-person),Person (in-person),For talking about and watching sports events I prefer to interact with a real person.,"Companion chatbots are less judgmental,Information is kept private to you ,You have more control over the chatbot than a person,Companion chatbot provides more useful information",,"People give more empathetic/understanding responses,You feel that only real people can truly empathize with and understand you",,I prefer to interact with chatbots specifically for information gathering and venting about personal stuff I don't want other people to hear in person. The reason is that AI chatbots are better able to provide accurate information over people and my secrets are generally safe with them.,Never,Never,Never,Never,Never,Often,Never,Often,Spouse/partner,Five to eight,Nine or more,Nine or more,Nine or more,Nine or more,Nine or more,Too busy with work or projects,,Yes,,,B7A43694C0CE4D2F9F99A18C45E166AD,1931f68a-0645-4a0f-bdda-f90eb0228028,b26f78b5-8c32-4d4d-a047-12a43686dd88,8,0.0,0.0,,,5.857142857142857,6.5,,,,,,,,,91.75,,,,7.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,,29,08/01/2024 06:58:18 AM,08/01/2024 07:20:27 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,42,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$250,000 or more",Chinese,Full-time,current
7,9,2024-10-29 16:17:28,2024-10-29 16:29:58,IP Address,100,749,True,2024-10-29 16:29:58,R_7WsOFRsgLz3QIF3,anonymous,EN,1,Yes,"Yes, I will",Yes,Yes,No,Replika,,Daily,,,30 min - 1h,,several months or around a year,"Computer,Smartphone",,"Feeling lonely,Wanted to have fun,To use it for a creative purpose (creative writing, character development, etc.)",,I want to feel loved and not feel lonely,"none, it did not change","To satisfy curiosity; to better understand the chatbot ,For enjoyment/pleasure/fun",,it keeps me company,"Casual conversation,Venting/talking about personal issues regarding others (interpersonal drama, negative feelings towards others, etc.)",,how can i feel more alive and feel more loved,3,2,3,2,2,3,i am spending time on the computer more,,,,,,,,,,,,,,,,,,,,,,,,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Person (online/remote),none,Companion chatbots are more accessible,,People provide more useful information ,,They have real life experience,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Spouse/partner,One,One,One,One,One,One,"Mental health issues ,Communication difficulties",,Yes,nothing unclear,,ECA07BECC1B14B0B95A6C2E038D88B62,6b14f9b8-54f9-472e-adfc-556cc5358e44,b26f78b5-8c32-4d4d-a047-12a43686dd88,23,100.0,50.0,30 min - 1h,22.0,4.571428571428571,4.75,4.25,4.25,4.0,4.5,4.5,5.75,6.0,5.5,69.5,5.5,6.0,3.0,2.4166666666666665,3.6,2.5,2.5,3.0,2.5,4.083333333333333,3.75,4.25,4.25,5.0,5.75,5.333333333333333,,6,08/01/2024 07:49:01 AM,08/01/2024 08:07:40 AM,Redirect,4AF210AA8D,5,0,1.25,Approved,,36,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Man,United States,"$100,000-$124,999",,Full-time,current
8,10,2024-10-29 16:18:21,2024-10-29 16:30:39,IP Address,100,737,True,2024-10-29 16:30:40,R_5dScWMy8viV0grw,anonymous,EN,1,Yes,"Yes, I will",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Person (in-person),Person (online/remote),Person (in-person),Person (in-person),Person (in-person),Person (in-person),One thing I tried recently was talking about a personal problem -- a chronic bad habit -- with a companion chatbot. I was surprised at how helpful it was. The chatbot was supportive and had helpful suggestions. I might feel uncomfortable talking about this habit with a friend or family member. They might feel judgmental or try to compel me to do things their way.,"Companion chatbots are less judgmental,Information is kept private to you ",,"You feel that only real people can truly empathize with and understand you,Other","It maintains and increases connection with acquaintances, friends and family members.","When wanting to discuss possible solutions for a problem I want to keep private, a chatbot can be helpful. In most other situations, I like talking with real persons. It increases and maintains the human connection.",Rarely,Never,Sometimes,Sometimes,Rarely,Often,Sometimes,Often,Friend,None,Two,Three or four,Nine or more,Five to eight,Five to eight,"Lack of transportation or accessibility; geographical isolation ,Too busy with work or projects,Lack of opportunities such as organized events",,Yes,,,ADDBE78355E240D8AF1E859572FDF233,670e6329-b425-44bb-9227-66a6293eecc3,b26f78b5-8c32-4d4d-a047-12a43686dd88,16,0.0,0.0,,,5.0,3.0,,,,,,,,,75.75,,,,6.416666666666667,4.2,5.0,6.5,7.0,7.0,3.9166666666666665,3.75,4.0,4.0,7.0,6.75,5.333333333333333,,18,06/12/2024 07:24:31 AM,06/12/2024 07:36:26 AM,Redirect,4AF210AA8D,5,0,0.0,Approved,,65,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Woman,United States,"$20,000-$29,999",White,Full-time,new
9,11,2024-10-29 16:21:52,2024-10-29 16:31:19,IP Address,100,566,True,2024-10-29 16:31:20,R_1QEKKdE0xk4rlPj,anonymous,EN,1,Yes,"Yes, I will",No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Companion chatbot,Person (in-person),I would use a companion chatbot during my alone time when I am tired and have finished with the day and the tasks for the day.,"Companion chatbots are less judgmental,Information is kept private to you ,Companion chatbots are more accessible",,People have independence and personal agency  ,,I prefer to chat with a chatbot simply because they are more accessible. They are also less judgemental and keep things private. I prefer to talk to a person in certain situations because they are indpendent and have personal agency when I do have more time and energy to organize plans,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,"Spouse/partner,Friend,Professional (e.g. teacher, doctor, counselor, pastor)",Three or four,Two,Two,Three or four,Three or four,Two,Social anxiety,,No,,,06A79881A79D4E1CA265E2B847F7A5F4,bc75772f-544d-46f7-b2cf-b5aab8dcb029,b26f78b5-8c32-4d4d-a047-12a43686dd88,23,0.0,0.0,,,5.142857142857143,6.25,,,,,,,,,75.25,,,,5.333333333333333,4.8,2.0,2.0,6.0,6.5,4.25,3.75,4.5,4.5,6.0,5.25,5.333333333333333,,15,08/01/2024 04:42:43 PM,08/01/2024 05:47:58 PM,Redirect,4AF210AA8D,5,0,1.25,Approved,,24,"Some college, but no degree",Male,Information Technology,In a civil union/partnership,Republican,"Yes, Mexican, Mexican Am., Chicano",Man,United States,"$50,000-$59,999",White,Full-time,current
